ID_POSTCODE;POSTCODE;ID_LCG;VERSION;DATE_FROM;DATE_TO
246;BT82 8AS;5;1;2018-11-05;2018-11-05
247;BT48 8NL;5;1;2018-11-05;2018-11-05
248;BT48 6LD;5;1;2018-11-05;2018-11-05
249;BT48 7EE;5;1;2018-11-05;2018-11-05
250;BT47 6AH;5;1;2018-11-05;2018-11-05
251;BT47 3AB;5;1;2018-11-05;2018-11-05
252;BT49 0NA;5;1;2018-11-05;2018-11-05
253;BT78 2BB;5;1;2018-11-05;2018-11-05
254;BT78 4SB;5;1;2018-11-05;2018-11-05
255;BT78 4QY;5;1;2018-11-05;2018-11-05
256;BT79 9JR;5;1;2018-11-05;2018-11-05
257;BT78 3AU;5;1;2018-11-05;2018-11-05
258;BT79 8DL;5;1;2018-11-05;2018-11-05
