ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;4059;873;60584;37;1;13;1;56;63,04;63,04
;4061;874;2827;210;1;13;1;5;2,86;2,58
;4105;883;3969;44;1;13;1;112;4,01;3,63
;4106;883;31729;44;1;13;5;454;32,08;28,86
4644;4136;888;7398;43;1;13;1;112;7,46;6,83
;4149;890;3322;72;1;13;3;84;3,36;3,04
;4155;891;55729;112;1;13;2;112;57,57;52,03
;4156;891;17375;112;1;13;1;28;17,5;15,81
;4173;894;2149;134;1;13;1;30;2,18;1,94
21117;4173;894;4475;134;1;13;1;60;4,52;4,02
;4175;897;17515;78;1;13;1;56;17,64;15,68
;4182;898;2060;115;1;13;1;30;2,09;1,89
;4215;903;935;75;1;13;1;28;0,95;0,86
;4216;903;906;75;1;13;1;28;0,92;0,83
6644;4219;905;2807;223;1;13;2;20;2,84;2,52
;4231;911;9289;210;1;13;1;10;9,36;8,66
16629;4234;913;7685;8;1;13;1;28;7,75;6,89
;4235;913;9717;8;1;13;4;308;9,79;8,73
;4238;913;15817;8;1;13;12;490;15,93;14,32
;4241;913;20837;8;1;13;3;196;21,0;18,81
;4304;924;2269;154;1;13;1;112;2,3;2,04
15837;4307;924;26953;154;1;13;1;8;27,2;24,59
;4309;924;26386;154;1;13;2;58;26,62;24,03
;4310;924;2946;154;1;13;1;112;2,98;2,69
;4339;928;4961;242;1;13;1;30;5,01;4,54
26746;4344;929;241165;76;1;13;2;2;785,18;785,18
;4354;931;1872;8;1;13;1;56;1,9;1,69
;4355;931;7775;8;1;13;5;196;7,84;7,09
;4360;932;11524;86;1;13;4;900;11,61;10,32
;4367;932;2209;86;1;13;1;200;2,24;1,99
;4368;932;1940;86;1;13;1;200;1,97;1,75
;4378;932;29179;86;1;13;4;320;29,47;26,36
;4379;932;118482;86;1;13;2;40;146,0;131,01
;4380;932;39193;86;1;13;18;1818;39,81;35,86
;4393;941;25733;80;1;13;2;56;25,96;23,45
;4395;941;4425;80;1;13;2;86;4,47;3,98
;4408;946;13980;3;1;13;1;168;14,08;12,71
7255;4409;946;3293;3;1;13;1;20;3,33;3,01
;4430;952;6025;41;1;13;4;196;6,08;5,49
;4433;952;4028;41;1;13;2;112;4,07;3,67
;4436;952;3599;41;1;13;1;84;3,64;3,24
;4469;963;9737;100;1;13;3;264;9,81;8,9
;4470;963;14554;100;1;13;1;100;14,66;13,03
;4488;968;9100;68;1;13;6;1400;9,17;8,24
10844;4488;968;836;68;1;13;1;200;0,85;0,76
;4506;975;9130;127;1;13;2;140;9,2;8,29
;4507;975;1960;127;1;13;1;28;1,99;1,77
;4516;980;18492;206;1;13;9;540;18,63;16,73
;4522;983;5975;89;1;13;1;84;6,03;5,36
16273;4569;989;1900;216;1;13;1;15;1,93;1,71
13134;4591;1000;7190;299;1;13;1;25;7,25;7,25
;4607;1003;4116;52;1;13;4;112;4,16;3,72
;4608;1003;7498;52;1;13;3;168;7,56;6,82
;4615;1005;2309;133;1;13;2;56;2,34;2,08
;4621;1005;14594;133;1;13;7;343;14,7;13,25
;4627;1005;11693;209;1;13;1;20;11,78;10,84
;4630;1007;61784;90;1;13;1;56;64,4;59,36
;4636;1007;61784;90;1;13;1;56;64,4;58,16
;4638;1007;180979;90;1;13;4;280;322,0;291,36
;4644;1009;1910;85;1;13;2;56;1,94;1,72
24636;4644;1009;4196;85;1;13;2;60;4,24;3,8
;4648;1010;12150;93;1;13;1;28;12,24;11,05
;4688;1022;1676;37;1;13;1;56;1,7;1,54
;4692;1022;78082;37;1;13;9;476;84,15;76,0
;4693;1022;756;37;1;13;1;28;0,77;0,68
;4706;1027;2569;70;1;13;2;48;2,6;2,34
10851;4706;1027;8604;70;1;13;2;160;8,67;7,77
;4718;1035;746;75;1;13;1;28;0,76;0,69
;4724;1035;4196;75;1;13;5;252;4,24;3,84
;4725;1035;157182;75;1;13;1;84;238,0;238,0
22761;4727;1035;201397;75;1;13;2;112;422,24;422,24
;4737;1040;1589;123;1;13;1;28;1,61;1,43
;4738;1040;7646;123;1;13;2;116;7,71;6,94
;4750;1048;2707;41;1;13;1;56;2,74;2,51
;4752;1048;21680;41;1;13;9;532;21,85;19,6
;4753;1048;8614;41;1;13;2;196;8,68;7,72
;4754;1048;17276;41;1;13;6;280;17,4;15,54
